Casa;Zona de obras,Embarcaderos del rio,Area de los VTB,Calle Lateral;Dormitorio principal,Cuarto de los niños,Sala de estar,Garaje;Dormitorio principal,Taller,Comedor,Cuarto de lavado;Cuarto de los niños - Taller,Sala de estar - Sala de entrenamiento,Sala de entrenamiento - Garaje
Oregon;Desguace,Calle,Zona de obras;Entrada a dormitorios,Sala comedor,Sala de reuniones,Lavanderia;Entrada a dormitorios,Cocina,Sala de reuniones,Zona de suministros;Dormitorios niños - Entrada a dormitorios,Cocina - Salon Comedor,Lavanderia - Zoan de suministros,Escenario posterior - Torre de vigia
Banco;Frontal del aparcamiento,Frontal de la joyeria,Acceso al callejon;Despacho del director,Archivo,Area Abierta,Taquillas;Despacho del director,Oficina de efectivo,Sala de personal,Camara;Sala ejecutiva - Despacho del director,Sala de personal - Area Abierta,Oficina de efectivo - Archivo,Taquillas - Sala CCTV de vigilancia
Base de Hereford;Pista de entrenamiento,Aparcamiento,Galeria de tiro;Taller,Habitacion principal,Comedor,Armeria;Almacen,Habitacion principal,Cocina,Armeria;Deposito de dimmies - Almacen,Comedor - Habitacion niños,Sala de TV - Cocina,Sala de informes - Armeria
Chalet;Patio delantero,Fuego campamento,Acantilado,Orilla del lago;Biblioteca,Comedor,Bar,Garaje motos de nieve;Habitacion principal,Biblioteca,Cocina,Bodega;Habitacion principal - cocina,Bar - Sala de juegos,Bodega - Garaje motos de nieve,Cocina - Sala de trofeos
Frontera;Entrada este de vehiculos,Valle,Salida oeste de vehiculos;Cajeros,Taller,Oficinas,Taquillas de la armeria;Oficina,Sala de seguridad,Taller,Inspeccion aduanera;Inspeccion aduanera - Zona de suministros,Sala de ventilacion - Taller,Baño - Cajeros,Taquillas de la armeria - Archivo
Avion;Entrada principal,Entrada de prensa,Entrada frontal de servicio;Sala de reuniones,Sala ejecutiva,Area del personal,Bodega de equipaje;Sala de reuniones,Sala ejecutiva,Zona de prensa A,Bodega de equipaje;Sala de reuniones - Oficina ejecutiva,Area del personal - Sala ejecutiva,Bodega de carga - Bodega de equipaje
Club;Puerta principal,Muelle de carga,Almacen,Zona de obras;Garaje,Bar,Habitacion,Sala de las armas;Habitacion,Sala del dinero,Club de striptease,Capilla;Gimnasio - Habitacion,Sala de vigilancia CCTV - Sala del dinero,Bar - Sala de inversiones,Capilla - Sala de las armas
Consulado;Barricada antitumultos,Cordon policial,Gasolinera,Entrada lateral;Oficina de administracion,Archivos,Despacho de visados,Garaje;Oficina del consul,Oficina de administracion,Ventanillas,Archivos;Oficina del consul - Sala de reuniones,Vestibulo - Sala de prensa,Garaje - Cafeteria
Canal;Embarcadero,Veleros,Zona de obras;Sala del servidor,Oficina de mapas,Oficina guardacostas,Suministros barcas;Sala de control,Oficina de mapas,Oficina guardacostas,Suministros barcas;Sala del servidos - Sala de control,Cocina - Sala del proyector,Oficina guardacostas - Deposito temporal
Cafe Doftoyesky;Embarcadero del rio,Marcadillo navideño,Callejon del parque;Sala de fumadores,Museo del tren,Sala de lectura,Preparacion de cocina;Parte trasera del bar,Museo del tren,Sala de lectura,Parrilla de la cocina;Bar - Sala de cocteles,Zona de la chimenea,Preparacion de cocina - Obrador
Yate;Subacuatica,Lancha rapida hinchable,Moto de nieve;Puerto de mando,Casino,Cocina,Sala minisubmarino ALklark;Sala de mapas,Casino,Cafeteria,Sala de maquinas;Sala de mapas - Puente de mando,Cocina - Control de maquinaria,Cafeteria - Camarotes de tripulacion,Sala del servidor - Almacen sala de maquinas
Favela;EXT Tejados,EXT Mercado,EXT Callejon de la escuela;P3 Sala de empaquetado,P2 Apartamento de futbol,P1 Sala de armas,P1 Apartamento de la tia;P3 Sala de empaquetado,P2 Zona de plantas,P2 Dormitorio de la tia,P1 Apartamento del motero;P3 Sala de empaquetado - P2 Laboratorio de metanfetamina,P2 Dormitorio de futbol - P2 Despacho de futbol,P2 Dormitorio de la tia - P1 Apartamento de la tia,P1 Apartamento del motero - P1 Dormitorio del motero
